Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
HOLLYWOOD RAVENEL DIALYSIS CLINC,422606,-,5953 JACOBS POINT BLVD ,RAVENEL,SC,29470,6,4,12.28%,Achievement,97.44%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,4,-,1.009,61,14,13.87,0.728,6,8.241,Achievement,5,5,55,0.50%,09-05-2006,FRESENIUS MEDICAL CARE,23-10-2015
CAROLINA DIALYSIS LLC,422608,-,115 INTERSTATE PARK ,SPARTANBURG,SC,29303,6,9,4.00%,Achievement,97.46%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,8,-,0.719,56,11,15.293,0.697,10,14.35,Achievement,5,5,73,No Reduction,16-11-2006,AMERICAN RENAL ASSOCIATES,02-10-2010
FORT MILL DIALYSIS,422609,-,1975 CAROLINA PLACE DR ,FORT MILL,SC,29708,6,10,2.72%,Achievement,96.14%,Achievement,50.60%,50.17%,Achievement,69.76%,67.07%,Improvement,46.57%,40.87%,Improvement,46.59%,43.23%,Achievement,49.64%,44.09%,Improvement,10,-,9,10,-,10,1,-,1.241,78,27,21.757,1.16,14,12.074,Achievement,5,5,55,0.50%,27-10-2006,DAVITA,30-03-2015
MYRTLE BEACH DIALYSIS,422610,-,3919 MAYFAIR STREET ,MYRTLE BEACH,SC,29577,6,8,5.49%,Achievement,97.13%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.235,47,14,11.335,1.025,7,6.831,Achievement,5,5,64,No Reduction,27-10-2006,DAVITA,06-01-2007
GREER SOUTH DIALYSIS,422611,-,3254 BRUSHY CREEK ROAD ,GREER,SC,29650,6,8,6.01%,Achievement,99.75%,Achievement,69.51%,79.59%,Achievement,86.54%,90.90%,Achievement,67.63%,79.33%,Achievement,67.83%,81.84%,Achievement,76.29%,91.64%,Achievement,10,-,9,10,-,10,2,-,1.149,65,21,18.275,0.88,23,26.126,Achievement,5,5,72,No Reduction,24-10-2006,DAVITA,02-05-2010
DCI GOOSE CREEK INC,422612,-,98 HAMLET CIRCLE ,GOOSE CREEK,SC,29445,6,10,2.95%,Achievement,95.28%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,7,-,0.835,66,16,19.157,1.115,16,14.347,Achievement,5,5,72,No Reduction,01-12-2006,"DIALYSIS CLINIC, INC.",28-01-2007
FRESENIUS OF YORK,422613,-,1440 E ALEXANDER LOVE HWY ,YORK,SC,29745,6,10,2.80%,Achievement,97.45%,Achievement,61.02%,57.14%,Achievement,76.35%,72.05%,Achievement,52.87%,66.15%,Achievement,69.19%,69.73%,Achievement,73.52%,69.52%,Achievement,10,-,9,10,-,10,3,-,1.13,72,20,17.692,1.46,26,17.812,Improvement,5,5,73,No Reduction,09-10-2007,FRESENIUS MEDICAL CARE,10-10-2007
FRESENIUS MEDICAL CARE CHERAW,422614,-,104 GRACE LANE ,CHERAW,SC,29520,6,4,11.50%,Achievement,96.69%,Achievement,53.60%,56.47%,Achievement,73.48%,76.87%,Achievement,62.37%,63.92%,Achievement,64.43%,70.86%,Achievement,67.11%,72.90%,Achievement,10,-,9,10,-,10,5,-,1.159,74,41,35.37,1.838,29,15.774,Improvement,5,5,52,0.50%,18-01-2008,FRESENIUS MEDICAL CARE,20-01-2008
"US RENAL CARE,INC",422615,-,10708 MARLBORO AVE ,BARNWELL,SC,29812,6,6,8.31%,Achievement,96.44%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,0.93,44,10,10.756,1.033,10,9.681,Achievement,5,5,62,No Reduction,13-02-2008,"US RENAL CARE, INC.",28-12-2017
"TOTAL RENAL CARE, INC.",422616,-,289 CHAPMAN RD ,FOUNTAIN INN,SC,29644,6,8,4.74%,Achievement,99.29%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.364,43,17,12.459,0.293,2,6.829,Achievement,5,5,61,No Reduction,22-01-2008,DAVITA,03-05-2010
FRESENIUS MEDICAL CARE CHURCH STREET,422617,-,406 SOUTH CHURCH STREET ,FLORENCE,SC,29501,6,2,15.18%,Achievement,98.85%,Achievement,55.69%,53.24%,Achievement,78.31%,71.45%,Achievement,42.01%,58.98%,Achievement,52.11%,54.97%,Achievement,60.42%,57.19%,Achievement,6,-,9,10,-,10,4,-,1.056,129,36,34.095,1.068,15,14.043,Achievement,5,5,49,0.50%,27-03-2008,FRESENIUS MEDICAL CARE,28-03-2008
FRESENIUS MEDICAL CARE JOHNSONVILLE,422618,-,200 STUCKEY ST ,JOHNSONVILLE,SC,29555,6,7,7.02%,Achievement,95.54%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,2,-,1.17,61,19,16.241,0.433,2,4.623,Achievement,5,5,53,0.50%,21-07-2008,FRESENIUS MEDICAL CARE,16-07-2009
FRESENIUS MEDICAL CARE WEST CONWAY,422619,-,1702 MILLPOND ROAD ,CONWAY,SC,29527,6,10,1.92%,Achievement,99.39%,Achievement,62.74%,75.10%,Achievement,79.04%,79.05%,Achievement,61.37%,75.06%,Achievement,71.21%,79.21%,Achievement,81.81%,87.86%,Achievement,10,-,9,10,-,10,10,-,0.304,51,4,13.152,0.853,8,9.377,Achievement,5,5,89,No Reduction,16-10-2008,FRESENIUS MEDICAL CARE,16-10-2008
JEDBURG DIALYSIS,422620,-,2897 W 5TH NORTH ST ,SUMMERVILLE,SC,29483,6,6,8.90%,Achievement,97.35%,Achievement,78.27%,70.32%,Achievement,89.37%,80.25%,Achievement,59.54%,63.72%,Achievement,75.00%,62.35%,Achievement,71.82%,69.40%,Achievement,9,-,9,10,-,10,4,-,1,76,18,17.997,0.853,18,21.11,Achievement,5,5,64,No Reduction,12-01-2009,DAVITA,13-01-2009
FRESENIUS MEDICAL CARE FORT LAWN,422621,-,5707 WILLOWBROOK ST ,FORT LAWN,SC,29714,6,0,17.89%,Achievement,89.94%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,3,-,1.092,65,21,19.233,0.92,29,31.534,Achievement,5,5,40,1.00%,07-04-2009,FRESENIUS MEDICAL CARE,03-04-2011
DAVITA LONGS DIALYSIS,422622,-,90 CLOVERLEAF DR SUITE 306 ,LONGS,SC,29568,6,8,5.31%,Achievement,97.46%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.773,33,7,8.657,0.675,6,8.895,Achievement,5,5,71,No Reduction,14-04-2009,DAVITA,15-04-2009
FRESENIUS MEDICAL CARE MYRTLE BEACH,422623,-,4592 OLEANDER DR ,MYRTLE BEACH,SC,29577,6,10,1.27%,Achievement,95.68%,Achievement,48.68%,52.95%,Achievement,75.86%,76.48%,Achievement,39.86%,38.23%,Achievement,51.48%,41.43%,Improvement,47.82%,49.67%,Achievement,10,-,9,10,-,10,6,-,0.899,78,17,18.9,0.898,13,14.475,Achievement,5,5,59,No Reduction,30-06-2009,FRESENIUS MEDICAL CARE,13-10-2016
DIALYSIS CLINIC INC-SALUDA,422624,-,301 W BUTLER AVENUE ,SALUDA,SC,29138,6,8,4.95%,Achievement,97.04%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.625,17,3,4.803,0.828,5,6.038,Achievement,5,5,94,No Reduction,04-12-2009,"DIALYSIS CLINIC, INC.",05-12-2009
FMC WINYAH,422625,-,2623 SOUTH FRASER STREET ,GEORGETOWN,SC,29440,6,10,0.88%,Achievement,98.95%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.81,46,10,12.351,1.004,11,10.955,Achievement,5,5,84,No Reduction,30-12-2009,FRESENIUS MEDICAL CARE,31-12-2009
RIDGELAND DIALYSIS,422626,-,112 WEATHERSBEE ST. ,RIDGELAND,SC,29936,6,10,0.58%,Achievement,99.32%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.372,36,13,8.707,1.404,9,6.41,Achievement,5,5,52,0.50%,03-02-2010,DAVITA,12-03-2010
FRESENIUS MEDICAL CARE COLUMBIA HOME,422627,-,121 PARK CENTRAL DR ,COLUMBIA,SC,29203,6,0,23.31%,Achievement,77.92%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,7,-,10,4,-,1.007,91,21,20.858,1.069,10,9.353,Achievement,5,5,31,1.50%,25-10-2010,FRESENIUS MEDICAL CARE,03-04-2011
ABBEVILLE DIALYSIS,422628,-,904 W GREENWOOD ST ,ABBEVILLE,SC,29620,6,10,2.82%,Achievement,99.15%,Achievement,76.23%,70.12%,Achievement,88.47%,85.76%,Achievement,85.00%,68.92%,Achievement,79.54%,76.88%,Achievement,89.50%,70.73%,Achievement,10,-,9,10,-,10,6,-,0.851,56,13,15.272,0.814,11,13.519,Achievement,5,5,79,No Reduction,17-12-2010,DAVITA,21-12-2011
NORTH MAIN KIDNEY CENTER,422629,-,3900 NORTH MAIN STREET SUITE A ,COLUMBIA,SC,29203,6,0,20.57%,Achievement,96.39%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.807,87,17,21.078,0.528,9,17.043,Achievement,5,5,51,0.50%,07-01-2011,AMERICAN RENAL ASSOCIATES,20-01-2011
FRESENIUS MEDICAL CARE CHARLESTON COUNTY,422630,-,901 VON KOLNITZ RD ,MOUNT PLEASANT,SC,29464,6,5,10.37%,Improvement,98.65%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.273,36,2,7.318,0.777,5,6.438,Achievement,5,5,85,No Reduction,02-02-2011,FRESENIUS MEDICAL CARE,10-02-2011
DSI HOME DIALYSIS PLEASANTBURG,422631,-,"110 CHALMERS ROAD, SUITE D ",GREENVILLE,SC,29605,6,No Score,No Rate,N/A,97.43%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,4,-,9,10,-,10,8,-,0.733,37,6,8.047,1.025,9,8.782,Achievement,5,5,72,No Reduction,04-11-2011,"US RENAL CARE, INC.",28-12-2017
"POINTE DIALYSIS, LLC",422632,-,1964 ASHLEY RIVER ROAD SUITE D-3,CHARLESTON,SC,29407,6,8,4.81%,Achievement,92.46%,N/A,No Rate,52.21%,N/A,No Rate,77.52%,N/A,No Rate,70.56%,N/A,No Rate,53.45%,N/A,No Rate,64.75%,N/A,10,-,9,10,-,10,1,-,1.209,90,22,18.204,0.97,15,15.469,Achievement,5,5,40,1.00%,23-05-2012,DAVITA,23-05-2012
"COAST DIALYSIS, LLC",422633,-,1964 ASHLEY RIVER ROAD SUITE D-2,CHARLESTON,SC,29407,6,No Score,No Rate,N/A,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.408,27,2,4.901,0.622,6,9.65,Achievement,5,5,98,No Reduction,22-05-2012,DAVITA,22-05-2012
"SPARTANBURG DIALYSIS, LLC",422634,-,128 DILLON DR ,SPARTANBURG,SC,29307,6,2,15.20%,Achievement,86.70%,N/A,No Rate,83.69%,N/A,No Rate,90.35%,N/A,No Rate,68.69%,N/A,No Rate,87.12%,N/A,No Rate,86.57%,N/A,5,-,9,10,-,10,9,-,0.677,92,18,26.58,0.589,21,35.679,Achievement,5,5,51,0.50%,16-05-2012,AMERICAN RENAL ASSOCIATES,01-03-2016
KEOWEE DIALYSIS CENTER LLC,422635,-,537 HWY 123 ,SENECA,SC,29678,6,10,3.11%,Achievement,94.92%,Achievement,52.39%,51.78%,Achievement,75.92%,78.83%,Achievement,62.05%,71.48%,Achievement,45.73%,44.81%,Achievement,51.46%,60.42%,Achievement,7,-,9,10,-,10,3,-,1.087,61,17,15.641,0.941,18,19.124,Achievement,5,5,52,0.50%,07-09-2012,AMERICAN RENAL ASSOCIATES,07-09-2012
DCI ARCHDALE,422636,-,5300 ARCHDALE BLVD ,CHARLESTON,SC,29418,6,1,15.79%,Achievement,90.22%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,5,-,9,10,-,10,5,-,0.956,111,29,30.34,0.856,30,35.045,Achievement,5,5,44,1.00%,29-08-2012,"DIALYSIS CLINIC, INC.",29-08-2012
"GREENVILLE DIALYSIS CLINIC, LLC",422637,-,220-A HOWE STREET ,GREENVILLE,SC,29601,6,7,6.64%,Achievement,97.82%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.01,97,28,27.728,0.947,26,27.45,Achievement,5,5,60,No Reduction,18-10-2012,AMERICAN RENAL ASSOCIATES,18-10-2012
GREER SOUTH HOME TRAINING,422638,-,3254 BRUSHY CREEK ROAD SUITE A,GREER,SC,29650,6,No Score,No Rate,N/A,95.67%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,8,-,0.742,23,4,4.852,1.389,8,5.758,Achievement,5,5,66,No Reduction,19-12-2012,DAVITA,19-12-2012
"DIALYSIS NEWCO, INC.",422639,-,208 HOLLY SPRINGS ROAD ,LYMAN,SC,29365,6,5,9.51%,Achievement,97.99%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,9,-,0.709,37,8,11.175,1.45,15,10.347,Improvement,5,5,68,No Reduction,24-07-2013,"US RENAL CARE, INC.",28-12-2017
"CURLEW DIALYSIS, LLC",422640,-,3595 HIGHWAY 15-401 ,MCCOLL,SC,29570,6,7,7.75%,Achievement,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.067,48,11,10.313,0.978,14,14.321,Achievement,5,5,63,No Reduction,22-07-2013,DAVITA,22-07-2013
"TOTAL RENAL CARE, INC.",422641,-,5224 HIGHWAY 321 ,GASTON,SC,29053,6,9,3.18%,Achievement,94.92%,Achievement,60.03%,66.13%,Achievement,82.61%,87.95%,Achievement,67.56%,69.80%,Achievement,69.28%,71.44%,Achievement,73.12%,76.59%,Achievement,10,-,9,10,-,10,7,-,0.782,50,11,14.071,1,8,8.003,Achievement,5,5,69,No Reduction,07-08-2013,DAVITA,01-07-2014
TOTAL RENAL CARE INC,422642,-,1015 S 4TH STREET ,HARTSVILLE,SC,29550,6,7,6.67%,Improvement,94.12%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,4,-,1.039,58,17,16.355,1.272,8,6.288,Achievement,5,5,52,0.50%,24-10-2013,DAVITA,24-10-2013
"DSI GREENVILLE, LLC",422644,-,121 COMMERCE BLVD ,EASLEY,SC,29642,6,No Score,No Rate,N/A,96.30%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,8,-,0.761,26,5,5.996,1.333,9,6.752,Achievement,5,5,76,No Reduction,07-05-2014,DIVERSIFIED SPECIALTY INSTITUTES (DSI),08-05-2014
"TOTAL RENAL CARE, INC.",422645,-,1520 FLAG DRIVE ,FLORENCE,SC,29505,6,4,11.92%,Achievement,92.34%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,0,-,1.286,75,24,18.657,1.019,21,20.609,Achievement,5,5,32,1.50%,16-04-2014,DAVITA,17-04-2014
"USRC NORTH AIKEN, LLC",422646,-,208 UNIVERSITY PARKWAY SUITE 208,AIKEN,SC,29801,6,9,3.75%,Achievement,94.86%,N/A,No Rate,60.13%,N/A,No Rate,86.24%,N/A,No Rate,41.02%,N/A,No Rate,60.68%,N/A,No Rate,80.19%,N/A,10,-,9,10,-,10,7,-,0.918,133,22,23.952,1.596,51,31.957,Improvement,5,5,69,No Reduction,22-05-2014,"US RENAL CARE, INC.",23-05-2014
"SHOALS DIALYSIS, LLC",422647,-,101 OKATIE CENTER BLVD S ,BLUFFTON,SC,29909,6,7,6.57%,Achievement,99.45%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,0,-,1.313,77,25,19.045,0.886,10,11.282,Achievement,5,5,46,1.00%,22-07-2014,DAVITA,22-07-2014
"GIVHAN DIALYSIS, LLC",422648,-,526 BROAD STREET ,SUMTER,SC,29150,6,No Score,No Rate,N/A,87.80%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,9,-,0.692,17,3,3.921,1.238,4,3.232,Achievement,5,5,57,0.50%,22-08-2014,DAVITA,22-08-2014
"TOTAL RENAL CARE, INC.",422649,-,1350 FARROW PARKWAY SUITE 100,MYRTLE BEACH,SC,29577,6,8,5.45%,Achievement,97.40%,Achievement,75.55%,No Rate,Achievement,88.81%,No Rate,Achievement,59.33%,No Rate,Achievement,76.68%,No Rate,Achievement,88.19%,No Rate,Achievement,8,-,9,10,-,10,6,-,0.874,93,21,24.031,1.358,11,8.101,Achievement,5,5,64,No Reduction,27-08-2014,DAVITA,27-08-2014
"FRESENIUS MEDICAL CARE CNA KIDNEY CENTERS, LLC",422650,-,653 W. WESMARK BOULEVARD ,SUMTER,SC,29150,6,7,7.40%,Achievement,74.83%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,9,-,10,10,-,0.588,30,5,8.502,0.9,5,5.555,Achievement,5,5,64,No Reduction,25-02-2015,FRESENIUS MEDICAL CARE,01-04-2015
"FRESENIUS MEDICAL CARE CNA KIDNEY CENTERS, LLC",422651,-,140 HIGHLAND CENTER DRIVE ,COLUMBIA,SC,29203,6,6,9.07%,Achievement,95.75%,Achievement,58.27%,No Rate,Achievement,77.73%,No Rate,Achievement,72.99%,No Rate,Achievement,59.67%,No Rate,Achievement,64.07%,No Rate,Achievement,9,-,9,10,-,10,9,-,0.699,81,15,21.445,0.951,9,9.466,Achievement,5,5,68,No Reduction,28-05-2015,FRESENIUS MEDICAL CARE,28-05-2015
"BIO-MEDICAL APPLICATIONS OF SOUTH CAROLINA, INC.",422652,-,1051 S. 4TH STREET ,HARTSVILLE,SC,29550,6,No Score,No Rate,N/A,93.95%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,0.966,19,6,4.419,No Ratio,N/A,N/A,Achievement,5,5,48,1.00%,13-07-2015,FRESENIUS MEDICAL CARE,13-07-2015
FRESENIUS MEDICAL CARE NORTH ANDERSON,422653,-,2021 CARDINAL CIR ,ANDERSON,SC,29621,6,4,11.38%,Achievement,93.05%,N/A,No Rate,67.45%,N/A,No Rate,86.38%,N/A,No Rate,67.25%,N/A,No Rate,67.33%,N/A,No Rate,76.10%,N/A,10,-,9,10,-,10,4,-,1.017,129,36,35.411,1.115,37,33.18,Achievement,5,5,48,1.00%,04-08-2015,FRESENIUS MEDICAL CARE,20-10-2015
DENTSVILLE KIDNEY CENTER,422654,-,201 COLUMBIA MALL BLVD SUITE 141,COLUMBIA,SC,29223,6,6,19.51%,Improvement,97.19%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.777,25,6,6.9,0.85,7,8.235,Achievement,5,5,72,No Reduction,12-10-2015,AMERICAN RENAL ASSOCIATES,12-10-2015
FRESENIUS MEDICAL CARE SWAN LAKE DIALYSIS CENTER,422655,-,520 PHYSICIANS LANE ,SUMTER,SC,29150,6,6,8.60%,Achievement,98.18%,Achievement,61.65%,54.15%,Achievement,75.37%,71.66%,Achievement,49.63%,53.98%,Achievement,66.87%,48.94%,Achievement,79.35%,64.80%,Achievement,9,-,9,10,-,10,2,-,1.27,44,37,29.139,1.544,21,13.598,Improvement,5,5,59,No Reduction,21-10-2015,FRESENIUS MEDICAL CARE,21-10-2015
WOFFORD DIALYSIS,422656,-,8024 WHITE AVE ,SPARTANBURG,SC,29303,6,10,2.57%,Achievement,97.78%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,6,-,9,10,-,10,8,-,0.738,69,14,18.968,1.012,14,13.836,Achievement,5,5,79,No Reduction,28-10-2015,DAVITA,31-10-2016
FRESENIUS MEDICAL CARE WALTERBORO,422657,-,904 N. JEFFERIES BOULEVARD ,WALTERBORO,SC,29488,6,6,9.09%,Achievement,93.03%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,5,-,0.932,107,28,30.036,0.851,5,5.873,Achievement,5,5,41,1.00%,26-10-2015,FRESENIUS MEDICAL CARE,27-10-2015
FRESENIUS MEDICAL CARE LOW COUNTRY HOME DIALYSIS,422658,-,1980 N MAIN ST ,SUMMERVILLE,SC,29483,6,No Score,No Rate,N/A,83.71%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.446,31,3,6.726,0.733,2,2.73,Achievement,5,5,57,0.50%,13-10-2015,FRESENIUS MEDICAL CARE,14-10-2015
FRESENIUS MEDICAL CARE AIKEN,422659,-,690 MEDICAL PARK DR SUITE 150,AIKEN,SC,29801,6,8,6.62%,Achievement,96.96%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,8,-,0.759,27,6,7.285,1.482,5,3.374,Achievement,5,5,75,No Reduction,09-11-2015,FRESENIUS MEDICAL CARE,09-11-2015
DSI TRAVELERS REST DIALYSIS,422660,-,36 S MAIN ST ,TRAVELERS REST,SC,29690,6,9,3.51%,Achievement,94.85%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,10,-,0.488,33,4,8.203,0.7,5,7.145,Achievement,5,5,81,No Reduction,20-11-2015,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20-11-2015
CYPRESS GARDENS DIALYSIS,422661,-,418 BROAD STREET ,SUMTER,SC,29150,6,0,18.42%,Achievement,87.87%,N/A,No Rate,57.64%,N/A,No Rate,74.77%,N/A,No Rate,59.21%,N/A,No Rate,42.49%,N/A,No Rate,64.51%,N/A,10,-,9,10,-,10,1,-,1.227,53,18,14.675,0.74,5,6.755,Achievement,5,5,34,1.50%,15-12-2015,DAVITA,15-12-2015
CLINTON DIALYSIS CLINIC,422662,-,103 AB JACKS RD ,CLINTON,SC,29325,6,7,6.67%,Achievement,97.92%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,7,-,0.788,52,12,15.22,0.394,5,12.679,Achievement,5,5,70,No Reduction,07-01-2016,AMERICAN RENAL ASSOCIATES,07-01-2016
"NKC CHARLESTON, LLC",422663,-,2270 ASHLEY CROSSING SUITE 130A,CHARLESTON,SC,29414,6,No Score,No Rate,N/A,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,0.377,,,N/A,5,5,87,No Reduction,06-01-2017,NOT A CHAIN,25-01-2017
